# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	10093
#@/user_id	a8b00f8d-da25-48f6-bb68-71052c2c8d80
bi ji 	筆記	c=1 d=0.0248475 t=10093
bi ji ben 	筆記本	c=1 d=0.0130365 t=10093
bi jiao 	比較	c=3 d=0.00594792 t=10093
bi jing 	畢竟	c=2 d=1.79127e-05 t=10093
bi lan 	碧藍	c=3 d=0.0366331 t=10093
bi li 	比例	c=1 d=4.07193e-19 t=10093
bi mian 	避免	c=1 d=0.0147723 t=10093
bi ru 	比如	c=1 d=1.4306e-07 t=10093
bi sai 	比賽	c=3 d=5.84104e-06 t=10093
bi te 	比特	c=0 d=3.796e-18 t=10093
bi te bi 	比特幣	c=1 d=3.81502e-17 t=10093
bi xu 	必須	c=1 d=2.37824e-16 t=10093
bi ye 	畢業	c=3 d=2.27195e-13 t=10093
bi zhi 	壁紙	c=0 d=6.89772e-15 t=10093
bi zhi qian 	壁紙前	c=1 d=6.9323e-14 t=10093
bian 	便	c=1 d=2.08293e-15 t=10093
bian 	變	c=1 d=4.7975e-07 t=10093
bian cheng 	編程	c=1 d=0.105399 t=10093
bian de 	變得	c=1 d=2.08187e-09 t=10093
bian di 	貶低	c=1 d=0.0303487 t=10093
bian geng 	變更	c=1 d=2.55468e-05 t=10093
bian hu ren 	辯護人	c=0 d=3.86873e-06 t=10093
bian hua 	變化	c=4 d=0.565848 t=10093
bian liang 	變量	c=3 d=0.863465 t=10093
bian se 	變色	c=1 d=0.514274 t=10093
bian shi 	便是	c=3 d=8.09487e-10 t=10093
bian you 	便有	c=0 d=2.19047e-20 t=10093
bian you le 	便有了	c=1 d=2.20145e-19 t=10093
bian zhi 	貶值	c=1 d=2.79812e-17 t=10093
biao 	表	c=2 d=0.0343896 t=10093
biao da 	表達	c=5 d=2.0268e-07 t=10093
biao ge 	表格	c=2 d=5.86697e-05 t=10093
biao jia 	標價	c=1 d=0.011109 t=10093
biao qing 	表情	c=1 d=0.0380182 t=10093
biao qing bao 	表情包	c=2 d=0.0347353 t=10093
biao shi 	表示	c=2 d=4.51332e-06 t=10093
